title,qualifies_wg,disqualification_reason,wg_needs_to_read,relevant_references,notes,author,publication,doi,year,search_venue,institution_lead_author,country_of_study,spatial_scale,time_range,bio_recs_data_analyzed,methods_development,methods_analysis,individual_sp_analysis,community_analysis,compiled_individual_sp_analysis,alien_sp_focus,distribution_change_based_on_specimen_reexamination,testing_spat_bias_correction,(testing other data quality correction),sp_richness,diversity,distribution,phenology,testing_macro_theory,order,taxon,entire_taxon_group,subset_justified,spatial_bias_addressed,spat_bias_correction_method,observer_variability_addressed,data_source,data_tp_what_where_when,data_tp_detection_non_detection,data_tp_known_effort,data_tp_semi_structured,data_tp_museum,data_tp_photo,data_tp_audio,data_tp_video,results_tp_hypothesis_testing,results_tp_prediction,results_tp_descriptive,(prediction performance meausure),(analysis method),multiple_datasets_integrated_for_analysis,(predictor variables),(summary stats),sample_size,voucher_necessary_for_analysis,volume,issue
A visual search for galaxies behind the southern Milky Way on the UK Schmidt Atlas,FALSE,Not biolgoy.  Astronomy.,NA,NA,NA,"SAITO, M",ASTRONOMICAL SOCIETY OF THE PACIFIC CONFERENCE SERIES,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA
"Predicting the likely impact of urbanisation on bat populations using citizen science data, a case study for Norfolk, UK",TRUE,NA,NA,NA,Borderline.  Opportunistic locations but data is generated by organizers based on recordings so it has non detection data and known survey effort.  Still I think opportunistic locations make it qualify.  The future of bio recs will inlude more remotely sensed data where sp IDs are made by experts based on raw sensing carried out by recorders.,"Border, Jennifer A.; Newson, Stuart E.; White, David C. J.; Gillings, Simon",LANDSCAPE AND URBAN PLANNING,10.1016/j.landurbplan.2017.02.005,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA
"POPULATION IN IRELAND - A CENSUS ATLAS - HORNER,AA, WALSH,JA, HARRINGTON,VP",FALSE,book review,NA,NA,NA,"WALSH, BM",ECONOMIC AND SOCIAL REVIEW,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3
"Catalogue of type specimens of molluscs in the collection of The Manchester Museum, The University of Manchester, UK",FALSE,Data publication. Collection catalogue.,NA,NA,NA,"McGhie, Henry A.",ZOOKEYS,10.3897/zookeys.4.32,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Art atlas for Celtic studies: archaeology and names in ancient Europe and Early Medieval Ireland, Britain, and Brittany",FALSE,book review,NA,NA,NA,"Buchsenschutz, Olivier",ANTIQUITY,10.1017/S0003598X00097969,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,318
Genetic signatures of population change in the British golden eagle (Aquila chrysaetos),FALSE,Museum genetics study.  Not bio recs type data.,NA,NA,NA,"Bourke, Brian P.; Frantz, Alain C.; Lavers, Christopher P.; Davison, Angus; Dawson, Deborah A.; Burke, Terry A.",CONSERVATION GENETICS,10.1007/s10592-010-0076-x,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5
"ATLAS OF BUTTERFLIES IN BRITAIN AND IRELAND - HEATH,J, POLLARD,E, THOMAS,J",FALSE,book review,NA,NA,NA,"KORN, E",TLS-THE TIMES LITERARY SUPPLEMENT,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4268
The Blaeu Atlas of Scotland: Background and introduction,FALSE,geography.,NA,NA,NA,"Fleet, C",SCOTTISH GEOGRAPHICAL JOURNAL,10.1080/00369220518737235,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,3
"Fossil Insects, Arthropods and Amber: Preface",FALSE,Conference report.  Fossils.,NA,NA,NA,"Ross, Andrew J.",EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,10.1017/S1755691017000445,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2-3
"Mapping North Sea print networks during the gestation of the first atlas of Scotland: Commercial, legal and political landscapes",FALSE,Cartography.,NA,NA,NA,"Mann, AJ",SCOTTISH GEOGRAPHICAL JOURNAL,10.1080/00369220518737236,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,3
"Molecular comparison of historical and contemporary pine marten (Martes martes) populations in the British Isles: evidence of differing origins and fates, and implications for conservation management",FALSE,Museum genetics.  Not bio recs data type.,NA,NA,NA,"Jordan, Neil R.; Messenger, John; Turner, Peter; Croose, Elizabeth; Birks, Johnny; O'Reilly, Catherine",CONSERVATION GENETICS,10.1007/s10592-012-0365-7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5
"AN ATLAS AND INDEX OF THE TITHE FILES OF MID-19TH-CENTURY ENGLAND AND WALES - KAIN,RJP, FRY,REJ, HOLT,HME",FALSE,book review,NA,NA,NA,"TURNER, M",AGRICULTURAL HISTORY REVIEW,NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"THE PONT MANUSCRIPT MAPS OF SCOTLAND - 16TH-CENTURY ORIGINS OF A BLAEU ATLAS - STONE,JC",FALSE,book review,NA,NA,NA,"CAIRD, JB",SCOTTISH GEOGRAPHICAL MAGAZINE,NA,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2
"A new species of Ischyrocerus (Crustacea : Amphipoda) from Ireland, with a review of Ischyrocerus anguipes and Ischyrocerus minutus from the North-East Atlantic",TRUE,NA,NA,NA,Reexamination of museum specimens resulted in changed sp designations which changed known range of I. anguipes.,"King, R; Holmes, JMC",JOURNAL OF NATURAL HISTORY,10.1080/0022293031000156358,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,38,14
"On some rhopalodinid sea cucumbers in the collections of the Natural History Museum, UK (Echinodermata: Holothuroidea: Dactylochirotida)",FALSE,Wrong geographic area.  African specimens in UK collection.,NA,NA,NA,"Thandar, Ahmed S.; Arumugam, Preyan",ZOOTAXA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2982
CO2 STORage Evaluation Database (CO2 Stored). The UK's online storage atlas.,FALSE,Not biology.  Geology.,NA,NA,NA,"Bentham, Michelle; Mallows, Tom; Lowndes, Jonathan; Green, Andrew",Energy Procedia,10.1016/j.egypro.2014.11.540,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"AN ATLAS AND INDEX OF THE TITHE FILES OF MID 19TH-CENTURY ENGLAND AND WALES - KAIN,RJP, HOLT,HME",FALSE,book review,NA,NA,NA,"HARRIS, A",GEOGRAPHY,NA,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,315
"Population estimates for waders Charadrii wintering in Great Britain, 1987/88-1991/92",TRUE,NA,NA,NA,NA,"Cayford, JT; Waters, RJ",BIOLOGICAL CONSERVATION,10.1016/0006-3207(95)00114-X,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1
"AN ATLAS AND INDEX OF THE TITHE FILES OF MID-19TH CENTURY ENGLAND AND WALES - KAIN,R, FRY,R, HOLT,H",FALSE,book review,NA,NA,NA,"EVANS, EJ",JOURNAL OF HISTORICAL GEOGRAPHY,10.1016/S0305-7488(88)80141-5,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
A consideration of some of the changes in distribution of ''common birds'' as revealed by The New Atlas of Breeding Birds in Britain and Ireland,TRUE,NA,NA,NA,Barely eligible.  Short communication that may not actually present new research.  It’s a bit hard to tell.,"Bircham, PMM; Jordan, WJ",IBIS,10.1111/j.1474-919X.1997.tb04523.x,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1
Floristic changes in vascular plants in the British Isles: geographical and temporal variation in botanical activity 1836-1988,TRUE,NA,NA,NA,NA,"Rich, Tim C. G.",BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/j.1095-8339.2006.00575.x,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,3
Projected reductions in climatic suitability for vulnerable British birds,TRUE,NA,TRUE,NA,Uses UK BBS which has randomized squares but I think incomplete coverage in that not all selected squares are in fact surveyed.  Need to check that to be sure.,"Massimino, Dario; Johnston, Alison; Gillings, Simon; Jiguet, Frederic; Pearce-Higgins, James W.",CLIMATIC CHANGE,10.1007/s10584-017-2081-2,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,1-2
Wave energy extraction in Scotland through an improved nearshore wave atlas,FALSE,Marine energy atlas,NA,NA,NA,"Lavidas, George; Venugopal, Vengatesan; Friedrich, Daniel",INTERNATIONAL JOURNAL OF MARINE ENERGY,10.1016/j.ijome.2017.01.008,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"Historical atlas of ethnic and linguistic groups in Papua New Guinea, vol 3, pt 4, New Britain, pt 5, New Ireland, pt 6, Bougainville - Wassmann,J",FALSE,book review,NA,NA,NA,"Reesink, GP",BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,3
OLD SHELL COLLECTION CASTS NEW LIGHT ON AN ALIEN SPECIES. THE DARK FALSE MUSSEL (MYTILOPSIS LEUCOPHAEATA) MAY HAVE BEEN IN BRITAIN AS EARLY AS 1800!,TRUE,NA,NA,NA,Borderline eligible.  Re-examination of museum specimens.  Presents new possible occurrence for alien species.,"Oliver, P. Graham",JOURNAL OF CONCHOLOGY,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA
THE INFLUENCE OF COPPER-PLATE ENGRAVING ON MAP CONTENT AND ACCURACY - PREPARATION OF THE 17TH-CENTURY BLAEU ATLAS OF SCOTLAND,FALSE,cartography,NA,NA,NA,"STONE, JC",CARTOGRAPHIC JOURNAL,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1
"POPULATION IN IRELAND - A CENSUS ATLAS - HORNER,AA, WALSH,JA, HARRINGTON,VP",FALSE,book review,NA,NA,NA,"HAUGHTON, JP",GEOGRAPHICAL JOURNAL,10.2307/635405,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA
"THE EPHYDRIDAE (DIPTERA) RELATING TO SPECIES DESCRIPTIONS BY HALIDAY,A.H. (1806-70) IN THE NATIONAL-MUSEUM-OF-IRELAND, WITH NOTES ON THE COLLECTION",FALSE,taxonomy,NA,NA,NA,"WILLIAMS, MD; OCONNOR, JP",PROCEEDINGS OF THE ROYAL IRISH ACADEMY SECTION B-BIOLOGICAL GEOLOGICAL AND CHEMICAL SCIENCE,NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,5
The foraging behavior of a species of bumble bee (Bombus pomorum) that became extinct in the British Isles in the nineteenth century,FALSE,Does not use bio recs type data.  Analyses foraging behaviour based on museum specimens.,NA,NA,NA,"Jeffers, Darren",JOURNAL OF APICULTURAL RESEARCH,10.1080/00218839.2017.1355346,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,5
Is plant collecting in Germany coming to an end?,FALSE,Wrong geographic area.  This is about Germany.,NA,NA,NA,"Renner, Susanne S.; Rockinger, Alexander",WILLDENOWIA,10.3372/wi.46.46106,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1
LEUKEMIA CLUSTERS IN CHILDHOOD - GEOGRAPHICAL ANALYSIS IN BRITAIN,FALSE,epidemiology,NA,NA,NA,"KNOX, EG",JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,10.1136/jech.48.4.369,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4
Citizen science networks in natural history and the collective validation of biodiversity data,FALSE,NA,TRUE,NA,Very interesting result that incorporating biodiversity data in policy reduces community networks.,"Turnhout, Esther; Lawrence, Anna; Turnhout, Sander",CONSERVATION BIOLOGY,10.1111/cobi.12696,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,3
"The functional anatomy of science mapping Katy Borner: Atlas of science: visualizing what we know. The MIT Press, Cambridge, MA/London, UK, 2010, US$20",FALSE,book review,NA,NA,NA,"Soos, Sandor",SCIENTOMETRICS,10.1007/s11192-011-0480-0,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2
Thermal refugia and the survival of species in changing environments: new evidence from a nationally extinct freshwater fish.,FALSE,Museum specimen genetics.  Not bio rec type data.,NA,NA,NA,"Worthington, Thomas A.; Van Houdt, Jeroen K. J.; Hull, Joshua M.; Kemp, Paul S.",ECOLOGY OF FRESHWATER FISH,10.1111/eff.12285,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3
The camerate crinoid Eucalyptocrinites sp from the Silurian(?) of Scotland,FALSE,Museum specimen reclassification but locality uncertain.,NA,NA,NA,"Donovan, Stephen K.",SCOTTISH JOURNAL OF GEOLOGY,10.1144/0036-9276/01-372,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA
Development of food photographs for use with children aged 18 months to 16 years: Comparison against weighed food diaries - The Young Person's Food Atlas (UK),FALSE,Not biology.,NA,NA,NA,"Foster, Emma; Hawkins, Adrian; Barton, Karen L.; Stamp, Elaine; Matthews, John N. S.; Adamson, Ashley J.",PLOS ONE,10.1371/journal.pone.0169084,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2
Taking the oldest insect recording scheme into the 21st Century,FALSE,review,TRUE,TRUE,NA,"Foster, Garth N.",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12531,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,3
Occupancy modelling as a new approach to assess supranational trends using opportunistic data: a pilot study for the damselfly Calopteryx splendens,TRUE,NA,TRUE,NA,looks exciting.  I need to read this.,"van Strien, Arco J.; Termaat, Tim; Kalkman, Vincent; Prins, Marijn; De Knijf, Geert; Gourmand, Anne-Laure; Houard, Xavier; Nelson, Brian; Plate, Calijn; Prentice, Stephen; Regan, Eugenie; Smallshire, David; Vanappelghem, Cedric; Vanreusel, Wouter",BIODIVERSITY AND CONSERVATION,10.1007/s10531-013-0436-1,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3
Stratigraphical and geographical distribution of Mississippian (Lower carboniferous) Crinoidea from Scotland,FALSE,Fossil-only study.,NA,NA,NA,"Kammer, Thomas W.; Ausich, William I.",EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,10.1017/SI755691007006068,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA
Distribution of the common lizard (Zootoca vivipara) and landscape favourability for the species in Northern Ireland,TRUE,NA,NA,NA,NA,"Farren, Aodan; Prodoehl, Paulo A.; Laming, Peter; Reid, Neil",AMPHIBIA-REPTILIA,10.1163/156853810791769428,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,3
"Vanneaugobius dollfusi Brownell, 1978 a rare fish new to the Adriatic Sea",FALSE,Wrong geographic area.  This is Adriatic Sea.,NA,NA,NA,"Pallaoro, A; Kovacic, M",JOURNAL OF FISH BIOLOGY,10.1006/jfbi.2000.1297,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1
Bioenergy for heat and electricity in the UK: A research atlas and roadmap,FALSE,Not biology.  Bioenergy.,NA,NA,NA,"Taylor, Gail",ENERGY POLICY,10.1016/j.enpol.2008.09.034,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,12
"Philip Brookes Mason (1842-1903): surgeon, general practitioner and naturalist",FALSE,Not bio recs study.  Biography.,NA,NA,NA,"Francis, Patricia",ARCHIVES OF NATURAL HISTORY,10.3366/anh.2015.0285,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1
A species distribution model for pine marten (Martes martes) in the least forested region of Europe,FALSE,Not opportunistic data.  Standardized transect surveys by author.,NA,NA,NA,"O'Mahony, Declan T.",MAMMAL RESEARCH,10.1007/s13364-017-0307-3,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,2
Problems with the application of diatom-total phosphorus transfer functions: examples from a shallow English lake,TRUE,NA,NA,NA,NA,"Sayer, CD",FRESHWATER BIOLOGY,10.1046/j.1365-2427.2001.00714.x,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,6
"A Scottish pterosaur in London: the first record of Pterosauria from the Upper Jurassic (Kimmeridgian) of Eathie (Ross and Cromarty), Scotland",FALSE,Fossil only.,NA,NA,NA,"Steel, Lorna; O'Sullivan, Michael",HISTORICAL BIOLOGY,10.1080/08912963.2014.961063,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,6
"The National Landslide Database of Great Britain: Acquisition, communication and the role of social media",FALSE,Not biology. Geology.,NA,NA,NA,"Pennington, Catherine; Freeborough, Katy; Dashwood, Claire; Dijkstra, Tom; Lawrie, Kenneth",GEOMORPHOLOGY,10.1016/j.geomorph.2015.03.013,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA
"Epidemiology of fractures in the United Kingdom 1988-2012: Variation with age, sex, geography, ethnicity and socioeconomic status",FALSE,Not biology. Epidemiology.,NA,NA,NA,"Curtis, Elizabeth M.; van der Velde, Robert; Moon, Rebecca J.; van den Bergh, Joop P. W.; Geusens, Piet; de Vries, Frank; van Staa, Tjeerd P.; Cooper, Cyrus; Harvey, Nicholas C.",BONE,10.1016/j.bone.2016.03.006,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA
